,37paddington.json,ageofuncertainty.json,ahomegrownjournal.json,angalmond.json,baileysbeerblog.json,blissout.json,blog.json,bluehousejournal.json,boomergirlsguide.json,bornimaginative.json,boyett-brinkley.json,cashonlyliving.json,chefowings.json,cheshire-wife.json,christasrandomthoughts.json,chuckgame.json,cocktailvirgin.json,contrarygoddess.json,cristurple.json,crossblackcountry.json,crpgaddict.json,culturalsnow.json,cuponthebus.json,danabugseyeview.json,disasterfilm.json,donnachloe.json,dorcassmucker.json,e-i-e-i-omg-bybiddie.json,ellenshead.json,esimsauthor.json,fatroland.json,feathersinthenest.json,fieldfen.json,fraiselachrymose.json,frankiesknittedstuff.json,frikosmusings.json,frugaldom.json,frugalistanbul.json,fruitsandgardening.json,gardenpunchlist.json,glassincarnate.json,growing-in-the-fens.json,gskgp.json,howtoplanwriteanddevelopabook.json,iheartcookingclubs.json,inkyfool.json,interimarrangements.json,johnkurman.json,jstheater.json,kathleenkirkpoetry.json,kimmy-cookingpleasure.json,kristinberkeyabbott.json,kristybowen.json,lesedgertononwriting.json,lifeatgoldenpines.json,lindahoof.json,littlehomesteadinboise.json,makedohomemaker.json,markmilliorn.json,meanqueen-lifeaftermoney.json,milkingsquirrels.json,momsscribbles.json,mrsnesbittsspace.json,mrssplapthing.json,mumssimplylivingblogat.json,myheartisalwayshome.json,mynext20yearsofliving.json,myrandomthoughtsblogaddress.json,mythreadbearlife.json,newamusements.json,newframereference.json,newlifeonthefarmlastchapter.json,northernlivingallowance.json,off-the-shelfbooks.json,onefamilyoneincome.json,opiejett.json,outmywindowtoday.json,picsandpiecing.json,pioneerwomanatheart.json,practical-parsimony.json,quickshout.json,randomphoto.json,randomthoughtsbytina.json,readingwhilewhite.json,relaxshacks.json,rightsizeandrethink.json,samandwriting.json,shadowsteve.json,shefalishahchoksi.json,showmelibrarian.json,simpleslug.json,slaythemonster.json,stitchesandseams.json,stonekettle.json,stopprocrastinatingandjustdoit.json,tabordays.json,talesfrombeyondthenook.json,teachertomsblog.json,tearoomofdespair.json,thatbritishwoman.json,thatextralevel.json,the-cooking-of-joy.json,thebuddhadiaries.json,theelementarymathmaniac.json,thewertzone.json,thriftathome.json,unbaggingthecats.json,understandingsociety.json,vegancrunk.json,walkingarizona.json,writinginthedarktw.json,www.json
2014,82813.0,33159.0,57181.0,109725.0,105197.0,14379.0,,,37587.0,,53113.0,48466.0,16565.0,5922.0,27473.0,9932.0,60856.0,0.0,,12172.0,321665.0,32104.0,79985.0,33724.0,,6639.0,77389.0,58629.0,55057.0,26458.0,18296.0,46638.0,43690.0,14927.0,,41507.0,64920.0,24748.0,3148.0,22380.0,7772.0,109149.0,13801.0,19208.0,9656.0,8779.0,25632.0,48705.0,50339.0,34689.0,77069.0,183593.0,14685.0,77432.0,36043.0,,48439.0,,47913.0,198415.0,,67378.0,,46665.0,25824.0,20859.0,11360.0,,27429.0,13562.0,53039.0,,11213.0,1045.0,81053.0,,99157.0,28825.0,19698.0,129374.0,4140.0,16565.0,51850.0,,18184.0,,,116308.0,11675.0,31446.0,255613.0,3869.0,20420.0,223513.0,5469.0,48630.0,9478.0,229100.0,108239.0,40578.0,95906.0,38751.0,85547.0,105874.0,96141.0,30261.0,228050.0,102865.0,132798.0,26388.0,8998.0,158112.0
2013,72767.0,36729.0,67006.0,116598.0,88918.0,14995.0,,,53175.0,,33115.0,73218.0,20738.0,1970.0,22424.0,50992.0,104789.0,0.0,,4277.0,328750.0,37416.0,62944.0,40722.0,,675.0,52968.0,55904.0,51384.0,15162.0,9101.0,101328.0,23017.0,20657.0,,51367.0,98867.0,28962.0,,,8011.0,127973.0,21142.0,7463.0,16706.0,26022.0,28464.0,71810.0,95507.0,36549.0,83444.0,206686.0,38054.0,93982.0,35309.0,,48253.0,,45610.0,211330.0,,35323.0,,67778.0,35972.0,24415.0,26140.0,,29459.0,13470.0,,,12169.0,,105987.0,,139594.0,38186.0,46965.0,121709.0,2800.0,17073.0,73502.0,,52313.0,,,116351.0,8878.0,79102.0,234106.0,6301.0,37202.0,249032.0,5204.0,56451.0,8636.0,239503.0,107136.0,78275.0,2750.0,39417.0,69594.0,60751.0,221946.0,41655.0,209467.0,131489.0,127427.0,54999.0,11437.0,79007.0
2012,68244.0,56071.0,85041.0,151561.0,67866.0,30346.0,,,52192.0,,37916.0,107074.0,2632.0,16537.0,38462.0,32939.0,131096.0,0.0,,10316.0,185628.0,47259.0,76524.0,59644.0,,6071.0,53414.0,73620.0,56971.0,,27143.0,93912.0,51166.0,25315.0,,59941.0,51170.0,19540.0,,,21788.0,97981.0,37749.0,38216.0,14920.0,31892.0,21587.0,88917.0,151654.0,66158.0,102697.0,204579.0,33140.0,69211.0,38315.0,,61978.0,,44837.0,200318.0,,13865.0,,72413.0,38259.0,22889.0,52674.0,,21274.0,16883.0,,,40767.0,,96444.0,,117273.0,56088.0,51474.0,132642.0,9489.0,18623.0,66426.0,,78191.0,,,108362.0,13204.0,71488.0,249915.0,4275.0,44603.0,287763.0,5738.0,45722.0,1711.0,330373.0,105145.0,98410.0,,18924.0,135845.0,,188645.0,48566.0,86509.0,140573.0,100753.0,53185.0,7393.0,57526.0
2011,86011.0,54310.0,122386.0,190886.0,5984.0,47396.0,,,25856.0,,48115.0,92605.0,9004.0,12939.0,19243.0,3500.0,40615.0,0.0,,9091.0,224888.0,42821.0,82384.0,78921.0,,,58720.0,76086.0,74063.0,,32532.0,132244.0,87944.0,21398.0,,77131.0,117593.0,,,,43000.0,70770.0,27518.0,6278.0,15773.0,73470.0,22764.0,87691.0,156190.0,124133.0,48285.0,214449.0,37558.0,84686.0,52148.0,,17605.0,,43091.0,183735.0,,16760.0,,48644.0,20874.0,26630.0,104916.0,,,15292.0,,,833.0,,37618.0,,100349.0,68210.0,60392.0,148231.0,7088.0,21205.0,42210.0,,97300.0,,,58003.0,9352.0,,221552.0,,117175.0,275678.0,5838.0,40322.0,,316527.0,138914.0,111569.0,,,153636.0,,162088.0,39084.0,,163763.0,89055.0,30877.0,13231.0,73979.0
2010,56541.0,64170.0,114504.0,143148.0,50884.0,28344.0,,,,,17799.0,95930.0,17862.0,13610.0,8264.0,16505.0,,0.0,,11948.0,169095.0,36789.0,,91725.0,,688.0,58057.0,34395.0,84535.0,,61365.0,312156.0,79197.0,17129.0,,79961.0,45180.0,,,,44148.0,82327.0,58389.0,15499.0,17748.0,119518.0,24741.0,88610.0,81267.0,152183.0,54.0,154966.0,35576.0,161654.0,58903.0,,,,39080.0,142384.0,,20652.0,,43261.0,2585.0,26688.0,57463.0,,,30486.0,,,16432.0,,9116.0,,,71249.0,36475.0,67941.0,12140.0,17360.0,30037.0,,,,,50462.0,12763.0,,295623.0,,46166.0,288063.0,9131.0,45867.0,,248660.0,85295.0,128876.0,,18085.0,169928.0,,172285.0,61670.0,,163903.0,89611.0,50726.0,,81570.0
2009,43422.0,49144.0,105629.0,152569.0,47201.0,42974.0,,,,,20617.0,8552.0,1746.0,24683.0,0.0,12679.0,,0.0,,15201.0,,30671.0,,34560.0,,428.0,67687.0,,83626.0,,46402.0,277310.0,73483.0,10140.0,,55157.0,,3920.0,,,93041.0,82164.0,32509.0,28914.0,4649.0,33597.0,317.0,14925.0,131981.0,5840.0,,120361.0,29571.0,,7322.0,,,,20576.0,98850.0,,8845.0,,43903.0,704.0,36973.0,,,,15854.0,,,31791.0,,,,,79389.0,24661.0,,26389.0,19092.0,35428.0,,,,,66836.0,16716.0,,240234.0,,33013.0,341515.0,52904.0,62171.0,,158635.0,126802.0,152050.0,,42623.0,154534.0,,243813.0,3428.0,,173071.0,63732.0,34539.0,,79891.0
2008,2962.0,50140.0,50484.0,97969.0,3300.0,24655.0,,,,,26434.0,,,21912.0,,29118.0,,0.0,,2322.0,,47805.0,,,,616.0,74335.0,,,,13206.0,5080.0,7999.0,,,308.0,,,,,89131.0,47260.0,28592.0,10380.0,,,,,120905.0,,,12006.0,36532.0,366.0,,,,,,,,,,67854.0,,33973.0,,,,14853.0,,,24702.0,,,,,84787.0,,,27211.0,14710.0,,,,,,57980.0,,,,,61781.0,257878.0,21616.0,36532.0,,,,101306.0,,9578.0,156910.0,,132951.0,,,146037.0,64168.0,18182.0,,6234.0
2007,,44331.0,,,,56150.0,,,,,1501.0,,,16918.0,,,,0.0,,,,52018.0,,,,5210.0,57276.0,,,,22694.0,,,,,,,,,,99643.0,,381.0,,,,,,162391.0,,,,52383.0,,,,,,,,,,,79900.0,,27223.0,,,,6132.0,,,,,,,,27503.0,,,1234.0,15337.0,,,,,,73040.0,,,,,88485.0,101563.0,,30517.0,,,,,,,166818.0,,52911.0,,,35568.0,2985.0,,,
2006,,24067.0,,,,77081.0,,,,,707.0,,,,,,,0.0,,,,74826.0,,,,10612.0,56833.0,,,,22102.0,,,,,,,,,,102835.0,,,,,,,,260971.0,,,,55741.0,,,,,,,,,,,124035.0,,7867.0,,,,6986.0,,,,,,,,,,,,18404.0,,,,,,27144.0,,,,,32320.0,,,48410.0,,,,,,,,,6627.0,,,,,,,
2005,,,,,,50676.0,,,,,,,,,,,,0.0,,,,7107.0,,,,,43571.0,,,,6047.0,,,,,,,,,,,,,,,,,,268649.0,,,,58145.0,,,,,,,,,,,125736.0,,,,,,10390.0,,,,,,,,,,,,9455.0,,,,,,,,,,,1657.0,,,48482.0,,,,,,,,,,,,,,,,
2004,,,,,,62746.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,1899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046.0,,,,,,,,,,,633.0,,,12765.0,,,,,,,,,,,,,,,,
2003,,,,,,97942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,16758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13167.0,,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,
